Actual Amount,Tatsächlicher Betrag,
Agreement,Vereinbarung,
Amended From,Korrektur von,
An E Invoice Import with the same Invoice ID and Supplier already exists.,Eine E-Rechnung mit der gleichen Rechnungs-ID und Lieferanten existiert bereits.,
Basis Amount,Basisbetrag,
Basis Date,Skontofrist,
Billed Quantity,Berechnete Menge,
Buyer,Käufer,
Buyer Address Line 1,Käufer-Adresse Zeile 1,
Buyer Address Line 2,Käufer-Adresse Zeile 2,
Buyer City,Käufer-Stadt,
Buyer Country,Käufer-Land,
Buyer Name,Käufer-Name,
Buyer Postcode,Käufer-Postleitzahl,
Buyer Reference,Käufer-Referenz,
Calculated Amount,Berechneter Betrag,
Calculation Percent,Berechnung Prozentsatz,
Cannot create E Invoice.,E-Rechnung konnte nicht erstellt werden.,
Cannot validate E Invoice schematron.,E-Rechnung konnte nicht validiert werden.,
Company,Unternehmen,
Could not validate E Invoice schematron. See Error Log for details.,E-Rechnung konnte nicht validiert werden. Details im Fehlerlog.,
Create,Erstellen,
Create Item,Artikel erstellen,
Create Purchase Invoice,Eingangsrechnung erstellen,
Create Supplier,Lieferant erstellen,
Create Supplier Address,Lieferanten-Adresse erstellen,
Currency,Währung,
Delivery,Lieferung,
Discount,Rabatt,
Document,Dokument,
Download eInvoice,E-Rechnung herunterladen,
Due,Fällig,
Due Date,Fälligkeitsdatum,
E Invoice Import,E-Rechnungs-Import,
E Invoice Import {0} does not exist,E-Rechnungs-Import {0} existiert nicht,
E Invoice Is Correct,E-Rechnung ist korrekt,
E Invoice Item,E-Rechnungs-Position,
E Invoice Payment Term,E-Rechnungs-Zahlungsbedingung,
E Invoice Profile,E-Rechnungs-Profil,
E Invoice Trade Tax,E-Rechnungs-Steuer,
E Invoice Validation,E-Rechnungs-Validierung,
E-Invoice,E-Rechnung,
File Section,Datei-Abschnitt,
Header,Kopfzeile,
Invoice ID,Rechnungs-ID,
Issue Date,Ausstellungsdatum,
Item,Artikel,
Items,Positionen,
Link to {0},Mit {0} verknüpfen,
Net Rate,Nettopreis,
No XML data found in PDF file.,Keine XML-Daten in der PDF-Datei gefunden.,
Partial Amount,Teilbetrag,
Payment Terms,Zahlungsbedingungen,
Please create or select a supplier before submitting,Bitte vor dem Buchen einen Lieferanten auswählen oder erstellen.,
Please map all invoice lines to an item before submitting,Bitte vor dem Buchen alle Positionen einem Artikel zuordnen.,
Please select a company before submitting,Bitte vor dem Buchen ein Unternehmen auswählen.,
Product,Produkt,
Product Description,Produktbeschreibung,
Product Name,Produktname,
Profile,Profil,
Purchase Invoice {0} is already linked to E Invoice Import {1},Eingangsrechnung {0} ist bereits mit E-Rechnungs-Import {1} verknüpft,
Purchase Order,Lieferantenauftrag,
Rate Applicable Percent,Anwendbarer Prozentsatz,
Seller,Verkäufer,
Seller Address Line 1,Verkäufer-Adresse Zeile 1,
Seller Address Line 2,Verkäufer-Adresse Zeile 2,
Seller City,Verkäufer-Stadt,
Seller Country,Verkäufer-Land,
Seller Name,Verkäufer-Name,
Seller Postcode,Verkäufer-Postleitzahl,
Seller Product ID,Verkäufer-Produkt-ID,
Seller Tax ID,Verkäufer-Steuer-ID,
Settlement,Ausgleich,
Supplier,Lieferant,
Supplier Address,Lieferanten-Adresse,
Tax Account,Steuer-Konto,
Tax Rate,Steuersatz,
Taxes,Steuern,
The uploaded file does not contain valid XML data.,Die hochgeladene Datei enthält keine gültige XML-Daten.,
Total Amount,Gesamtbetrag,
UOM,Einheit,
Unit Code,Einheits-Code,
Unsupported file format '{0}',Nicht unterstütztes Dateiformat '{0}',
Upload the <code>.xml</code> or <code>.pdf</code> file provided by your supplier.,Laden Sie die von Ihrem Lieferanten bereitgestellte <code>.xml</code>- oder <code>.pdf</code>-Datei hoch.,
Validation Details,Validierungsdetails,
Validation Errors,Validierungsfehler,
View {0},{0} ansehen,
{0} row #{1}: Discount Date should be after Posting Date,{0} Zeile {1}: Rabatt-Datum sollte nach Buchungsdatum liegen,
{0} row #{1}: Type '{2}' is not supported in e-invoice,{0} Zeile #{1}: Typ '{2}' wird in der E-Rechnung nicht unterstützt,
{0}: Only one mode of payment will be considered in the e-invoice.,{0}: Nur eine Zahlungsart wird in der E-Rechnung berücksichtigt.,
